DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
161646.8,69,0.0
159905.2,68,0.0
126918.0,68,0.0
94503.8,68,0.0
65079.2,67,0.0
16467.8,67,0.0
38798.4,68,0.0
60533.4,68,0.0
80590.0,68,0.0
98147.6,69,0.0
103766.4,69,0.0
95076.2,69,0.0
87856.0,70,0.0
77586.2,70,0.0
56475.8,70,0.0
39583.8,71,0.0
29247.6,71,0.0
12065.0,71,0.0
16227.8,71,0.0
20572.6,71,0.0
21374.6,70,0.0
21153.2,70,0.0
21129.4,70,0.0
21219.4,70,0.0
17707.8,70,0.0
14432.6,69,0.0
10234.2,69,0.0
10122.4,69,0.0
13630.8,68,0.0
17184.4,68,0.0
21706.6,68,0.0
22145.6,68,0.0
22092.8,68,0.0
21564.6,68,0.0
21635.4,68,0.0
21379.8,68,0.0
16805.0,68,0.0
12615.4,68,0.0
10003.2,68,0.0
7400.0,68,0.0
10703.0,68,0.0
14164.0,68,0.0
15828.0,68,0.0
16094.4,68,0.0
15273.0,68,0.0
15172.0,68,0.0
15057.6,68,0.0
14824.4,68,0.0
11464.0,68,0.0
9191.8,68,0.0
8021.0,68,0.0
10959.4,68,0.0
15338.0,68,0.0
35352.4,68,0.0
59864.6,68,0.0
81831.6,68,0.0
105259.6,68,0.0
126696.8,67,0.0
124380.0,67,0.0
119019.4,67,0.0
92703.0,67,0.0
64697.4,67,0.0
42381.2,67,0.0
12458.0,67,0.0
16620.6,67,0.0
20514.0,68,0.0
20957.4,68,0.0
20745.4,68,0.0
19817.0,68,0.0
19962.0,69,0.0
20135.6,69,0.0
18464.6,69,0.0
14208.6,69,0.0
10648.4,70,0.0
8639.4,70,0.0
10566.8,70,0.0
14647.8,70,0.0
17953.6,70,0.0
19436.4,70,0.0
18878.4,70,0.0
18960.2,70,0.0
18801.0,69,0.0
19184.4,69,0.0
17475.8,69,0.0
15781.2,69,0.0
11758.6,69,0.0
11121.0,69,0.0
11508.0,69,0.0
13352.8,69,0.0
15170.8,69,0.0
19181.6,70,0.0
20126.6,70,0.0
20073.8,70,0.0
20627.2,70,0.0
20634.8,70,0.0
16771.8,71,0.0
12690.4,71,0.0
9144.2,71,0.0
8042.6,71,0.0
11714.2,70,0.0
15234.2,70,0.0
18561.0,70,0.0
19173.0,69,0.0
19072.4,69,0.0
18777.2,68,0.0
19140.0,68,0.0
19142.4,68,0.0
15338.4,67,0.0
11362.4,67,0.0
9183.4,66,0.0
9004.8,66,0.0
12674.0,66,0.0
16563.8,66,0.0
19105.6,66,0.0
19206.0,66,0.0
19268.6,66,0.0
19319.4,66,0.0
30162.2,66,0.0
50251.2,66,0.0
46426.6,66,0.0
42429.4,66,0.0
40658.2,66,0.0
10270.4,67,0.0
14470.8,67,0.0
18404.6,68,0.0
20719.6,68,0.0
20638.6,68,0.0
20271.2,68,0.0
19863.4,69,0.0
20062.4,69,0.0
19226.8,69,0.0
15219.8,69,0.0
11354.0,70,0.0
9697.6,70,0.0
11001.6,71,0.0
14849.2,71,0.0
21922.4,71,0.0
31450.2,72,0.0
38937.0,72,0.0
47831.8,72,0.0
57522.6,72,0.0
64444.8,72,0.0
62165.2,73,0.0
49976.4,73,0.0
36919.2,73,0.0
25619.2,73,0.0
8307.4,73,0.0
11327.2,73,0.0
14461.0,73,0.0
14999.4,73,0.0
20574.2,72,0.0
28911.2,72,0.0
37417.6,72,0.0
46722.2,72,0.0
55244.6,72,0.0
46373.0,71,0.0
35265.0,71,0.0
26371.0,71,0.0
10281.8,71,0.0
14090.2,71,0.0
17791.8,71,0.0
18969.6,71,0.0
18847.2,71,0.0
18731.4,71,0.0
18648.8,71,0.0
18507.4,71,0.0
16093.8,71,0.0
12458.2,71,0.0
8684.0,71,0.0
8555.8,70,0.0
12201.6,70,0.0
17361.8,70,0.0
41972.6,70,0.0
67427.4,70,0.0
91528.4,70,0.0
113933.0,70,0.0
133957.0,70,0.0
133273.4,70,0.0
114812.8,70,0.0
96975.0,70,0.0
70296.8,70,0.0
48647.8,69,0.0
28405.4,69,0.0
22061.6,69,0.0
15580.4,69,0.0
19574.4,69,0.0
39867.4,69,0.0
71369.4,69,0.0
97369.2,68,0.0
117549.2,68,0.0
137103.4,68,0.0
113274.8,68,0.0
78087.6,68,0.0
48675.0,68,0.0
8499.8,68,0.0
25925.6,68,0.0
47813.8,68,0.0
82376.6,69,0.0
104456.2,69,0.0
137964.0,69,0.0
174275.0,69,0.0
197552.0,69,0.0
198178.4,70,0.0
173052.6,70,0.0
136524.2,70,0.0
83795.6,70,0.0
9356.2,70,0.0
12243.0,70,0.0
15014.0,70,0.0
17438.2,70,0.0
18208.4,70,0.0
28104.0,70,0.0
37364.6,70,0.0
46791.0,70,0.0
55175.2,70,0.0
50870.4,70,0.0
37759.4,70,0.0
26757.2,70,0.0
9168.0,69,0.0
17932.4,69,0.0
37731.8,69,0.0
55432.2,69,0.0
71453.2,68,0.0
91622.4,68,0.0
117852.8,68,0.0
146114.0,68,0.0
163833.2,68,0.0
146460.2,67,0.0
124928.6,67,0.0
92565.8,67,0.0
14684.4,67,0.0
