DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
172914.4,81,0.0
173893.8,80,0.0
154574.0,79,0.0
122625.0,78,0.0
89462.6,77,0.0
58243.6,76,0.0
24641.6,75,0.0
16924.4,75,0.0
47587.6,75,0.0
79453.4,75,0.0
106645.2,75,0.0
134745.6,75,0.0
159416.0,75,0.0
184688.0,74,0.0
186150.8,74,0.0
199021.6,74,0.0
166470.4,74,0.0
79179.0,74,0.0
13749.4,74,0.0
19952.4,74,0.0
51760.4,74,0.0
90802.0,74,0.0
125515.2,74,0.0
161380.6,74,0.0
197563.2,74,0.0
210125.6,74,0.0
183259.4,74,0.0
142572.4,74,0.0
100331.6,74,0.0
62810.0,75,0.0
14379.4,75,0.0
19140.8,75,0.0
23973.8,75,0.0
23923.8,75,0.0
23987.0,75,0.0
24304.2,76,0.0
24374.0,76,0.0
22435.0,76,0.0
17621.4,76,0.0
12788.0,76,0.0
10327.4,76,0.0
10077.4,76,0.0
13959.2,76,0.0
18150.6,76,0.0
19558.2,76,0.0
19979.8,76,0.0
20054.6,76,0.0
20110.0,75,0.0
19871.0,75,0.0
19427.2,75,0.0
15372.8,75,0.0
11454.8,75,0.0
9792.2,75,0.0
11634.8,74,0.0
16190.2,74,0.0
24865.2,74,0.0
62918.4,74,0.0
95629.8,74,0.0
140932.6,74,0.0
173236.8,74,0.0
208115.2,74,0.0
183120.6,74,0.0
145712.0,74,0.0
95747.4,74,0.0
74036.2,74,0.0
103271.2,74,0.0
144701.0,74,0.0
179982.6,75,0.0
208998.8,75,0.0
205921.2,75,0.0
194112.8,75,0.0
201263.4,75,0.0
204442.2,76,0.0
164019.6,76,0.0
130743.0,76,0.0
94857.4,76,0.0
60108.4,76,0.0
62512.4,77,0.0
99780.2,77,0.0
147428.2,77,0.0
173500.8,77,0.0
193965.6,77,0.0
213219.2,77,0.0
213243.0,77,0.0
204467.6,77,0.0
196331.6,77,0.0
156725.0,77,0.0
112006.8,77,0.0
72117.2,77,0.0
36239.6,76,0.0
29944.8,76,0.0
57606.6,76,0.0
83843.2,76,0.0
106694.0,76,0.0
129155.4,76,0.0
135648.0,75,0.0
136210.8,75,0.0
134558.2,75,0.0
115059.0,75,0.0
94401.8,75,0.0
67376.0,75,0.0
40338.4,74,0.0
66472.8,74,0.0
103921.8,74,0.0
133232.8,74,0.0
172959.8,74,0.0
192082.0,74,0.0
194674.4,74,0.0
190988.0,74,0.0
206668.4,74,0.0
193895.4,74,0.0
155929.6,74,0.0
120524.4,74,0.0
81603.8,74,0.0
13249.8,74,0.0
