DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
14906.2,80,0.0
14275.2,80,0.0
15549.0,80,0.0
14398.4,80,0.0
15326.4,81,0.0
15550.8,81,0.0
13299.2,81,0.0
9256.4,81,0.0
6935.4,81,0.0
6901.6,81,0.0
9169.2,82,0.0
12168.8,82,0.0
16623.8,82,0.0
16261.6,82,0.0
16061.2,82,0.0
16526.4,82,0.0
18016.2,82,0.0
16713.6,82,0.0
15050.0,82,0.0
12050.8,82,0.0
8711.2,82,0.0
5571.2,82,0.0
5759.8,82,0.0
10924.4,82,0.0
14654.6,82,0.0
16988.6,82,0.0
17075.2,82,0.0
17194.0,82,0.0
16421.2,82,0.0
14390.2,82,0.0
12405.8,82,0.0
8977.8,82,0.0
5784.0,82,0.0
6751.4,82,0.0
8318.0,81,0.0
8499.6,81,0.0
11478.0,81,0.0
15139.2,81,0.0
14031.2,81,0.0
12651.0,81,0.0
13020.8,81,0.0
12288.4,80,0.0
10868.0,80,0.0
9165.8,80,0.0
7822.4,80,0.0
5572.0,80,0.0
3326.4,80,0.0
4117.6,80,0.0
7526.0,80,0.0
9559.8,80,0.0
12445.2,80,0.0
12981.0,80,0.0
13373.0,80,0.0
13473.8,80,0.0
14031.6,80,0.0
13983.0,80,0.0
11716.0,80,0.0
8841.2,80,0.0
6730.4,80,0.0
6394.8,80,0.0
9738.2,81,0.0
12280.2,81,0.0
13844.8,81,0.0
13153.2,81,0.0
10607.4,81,0.0
7484.4,81,0.0
7404.8,82,0.0
8073.0,82,0.0
9802.2,82,0.0
8145.2,82,0.0
6933.2,82,0.0
6157.6,82,0.0
5135.2,83,0.0
6927.6,83,0.0
8739.0,83,0.0
9230.0,84,0.0
10087.0,84,0.0
10468.0,84,0.0
10596.2,85,0.0
10429.2,85,0.0
9123.0,85,0.0
7102.4,85,0.0
4929.4,86,0.0
2990.2,86,0.0
9396.6,86,0.0
13132.8,86,0.0
15038.2,86,0.0
14349.8,86,0.0
13079.8,86,0.0
11610.0,86,0.0
9874.6,85,0.0
10139.4,85,0.0
10263.8,85,0.0
8138.6,85,0.0
5065.0,85,0.0
3744.4,84,0.0
6003.6,84,0.0
9210.2,84,0.0
9850.4,84,0.0
10437.0,83,0.0
10785.4,83,0.0
10493.4,83,0.0
9260.0,83,0.0
9942.4,83,0.0
8145.2,82,0.0
5986.8,82,0.0
4701.2,82,0.0
5570.4,82,0.0
8265.6,81,0.0
9476.6,81,0.0
6615.4,81,0.0
6760.2,81,0.0
5709.2,81,0.0
6638.6,81,0.0
8638.4,81,0.0
10777.8,81,0.0
8460.4,81,0.0
6342.8,81,0.0
6333.2,81,0.0
6618.4,81,0.0
7332.8,81,0.0
8718.8,81,0.0
8293.0,82,0.0
8383.4,82,0.0
9252.0,82,0.0
9356.8,82,0.0
9285.2,83,0.0
9425.4,83,0.0
8304.2,83,0.0
7164.4,83,0.0
5586.8,84,0.0
4250.0,84,0.0
3604.4,84,0.0
5600.0,84,0.0
8375.4,84,0.0
10312.6,84,0.0
11259.6,83,0.0
11092.0,83,0.0
10286.8,83,0.0
9075.8,82,0.0
10362.6,82,0.0
9908.6,81,0.0
8195.2,81,0.0
6630.4,81,0.0
4643.2,80,0.0
4700.4,80,0.0
6456.2,80,0.0
8729.4,81,0.0
9721.6,81,0.0
10758.2,81,0.0
12693.4,82,0.0
13289.6,82,0.0
13278.8,82,0.0
13545.0,83,0.0
13069.4,83,0.0
9995.4,83,0.0
5601.4,84,0.0
3312.2,84,0.0
5158.4,84,0.0
8258.4,83,0.0
9771.0,83,0.0
9767.8,83,0.0
9822.4,82,0.0
10479.6,82,0.0
10986.6,82,0.0
10201.2,81,0.0
8804.0,81,0.0
6660.6,80,0.0
4199.6,80,0.0
5272.0,80,0.0
6401.6,80,0.0
8746.4,80,0.0
11837.4,80,0.0
14683.2,81,0.0
15659.4,81,0.0
15295.4,81,0.0
15281.0,81,0.0
14406.0,82,0.0
10729.0,82,0.0
7776.4,82,0.0
7208.4,82,0.0
9409.8,83,0.0
12647.8,83,0.0
15604.2,83,0.0
15764.0,83,0.0
14009.4,83,0.0
13263.8,83,0.0
13132.6,83,0.0
13283.0,83,0.0
13414.4,83,0.0
11471.4,83,0.0
6414.8,83,0.0
5646.0,84,0.0
7935.8,84,0.0
10225.6,84,0.0
11408.4,84,0.0
9464.0,84,0.0
9244.6,84,0.0
9001.4,84,0.0
9536.6,84,0.0
8994.6,84,0.0
7132.6,84,0.0
5464.6,84,0.0
6084.0,84,0.0
5999.4,84,0.0
7598.4,84,0.0
9197.4,84,0.0
7738.0,84,0.0
8944.4,84,0.0
9515.6,83,0.0
10357.4,83,0.0
10711.6,83,0.0
10670.6,83,0.0
7969.6,83,0.0
5166.0,83,0.0
5587.8,83,0.0
5589.4,82,0.0
5591.0,82,0.0
3785.6,82,0.0
1179.8,82,0.0
232.6,82,0.0
4972.2,82,0.0
9550.0,82,0.0
14130.0,82,0.0
19586.2,82,0.0
24461.8,82,0.0
17046.6,82,0.0
9449.8,82,0.0
9930.2,82,0.0
13341.0,82,0.0
15764.2,82,0.0
16014.6,82,0.0
15209.6,82,0.0
13951.4,82,0.0
12798.0,82,0.0
12965.6,82,0.0
11457.2,82,0.0
9935.0,82,0.0
8003.0,82,0.0
16397.4,82,0.0
46968.6,82,0.0
66912.2,82,0.0
91744.2,82,0.0
102807.2,82,0.0
114354.4,82,0.0
135226.0,82,0.0
139986.4,82,0.0
145120.4,82,0.0
133735.2,82,0.0
105484.4,82,0.0
75404.6,82,0.0
45772.2,82,0.0
18165.4,82,0.0
11066.8,82,0.0
15646.2,82,0.0
19669.2,82,0.0
21158.2,82,0.0
20535.8,82,0.0
19699.4,82,0.0
18614.2,82,0.0
17270.0,82,0.0
11833.6,82,0.0
8229.8,82,0.0
5297.2,82,0.0
4122.0,82,0.0
5760.8,82,0.0
7598.2,82,0.0
9334.4,82,0.0
9451.2,82,0.0
9132.0,82,0.0
9152.2,82,0.0
8990.6,82,0.0
19045.6,82,0.0
37142.8,82,0.0
37583.6,82,0.0
35726.6,82,0.0
25446.2,82,0.0
7030.2,82,0.0
6767.4,82,0.0
8259.6,82,0.0
13729.6,82,0.0
38017.4,82,0.0
67052.2,82,0.0
98490.6,82,0.0
122287.8,82,0.0
140939.8,82,0.0
147409.2,82,0.0
83621.4,82,0.0
55145.2,82,0.0
9476.4,84,0.0
12958.4,85,0.0
16412.0,86,0.0
17517.2,87,0.0
17673.4,88,0.0
16970.4,90,0.0
17241.6,92,0.0
16809.0,93,0.0
16085.0,94,0.0
12954.2,95,0.0
7346.2,96,0.0
3266.0,96,0.0
4056.4,94,0.0
5174.0,93,0.0
5294.8,90,0.0
4868.0,89,0.0
5605.0,88,0.0
11954.8,86,0.0
20466.6,85,0.0
27734.0,84,0.0
36440.6,82,0.0
43721.4,81,0.0
45567.4,80,0.0
42801.2,80,0.0
41643.2,80,0.0
40146.8,80,0.0
31338.6,80,0.0
22025.2,80,0.0
17447.6,80,0.0
13279.8,80,0.0
9577.2,80,0.0
12276.0,80,0.0
14974.8,80,0.0
16749.4,80,0.0
16657.0,80,0.0
16803.4,80,0.0
17128.8,80,0.0
22415.0,80,0.0
19419.6,80,0.0
16854.8,80,0.0
14059.0,80,0.0
43245.2,80,0.0
177442.2,80,0.0
252441.4,80,0.0
331365.2,80,0.0
378660.2,80,0.0
385942.6,80,0.0
397664.4,80,0.0
403245.8,80,0.0
397996.0,80,0.0
388434.0,80,0.0
386153.0,80,0.0
301222.8,80,0.0
219868.0,80,0.0
147883.2,80,0.0
84446.0,80,0.0
80468.0,80,0.0
160744.2,80,0.0
265054.4,80,0.0
340846.2,80,0.0
415309.0,80,0.0
441496.0,80,0.0
435143.0,80,0.0
436841.0,80,0.0
397702.6,80,0.0
307660.2,80,0.0
211032.8,80,0.0
129307.4,80,0.0
7161.2,80,0.0
11140.6,80,0.0
15213.0,80,0.0
17305.0,80,0.0
19572.0,80,0.0
20741.8,80,0.0
21161.4,80,0.0
21423.2,80,0.0
17180.2,80,0.0
13090.4,80,0.0
10275.4,80,0.0
9789.2,79,0.0
13789.0,79,0.0
18255.8,79,0.0
21098.8,79,0.0
21443.0,79,0.0
21633.2,79,0.0
21907.6,79,0.0
21192.0,79,0.0
16860.2,79,0.0
12559.8,79,0.0
8355.6,79,0.0
9833.6,79,0.0
11737.6,79,0.0
18583.2,79,0.0
25118.8,79,0.0
31482.0,79,0.0
32059.8,79,0.0
33203.6,79,0.0
30734.2,79,0.0
27772.2,79,0.0
27762.8,87,0.0
24792.8,96,0.0
22038.6,104,0.0
17605.2,113,0.0
8412.8,130,0.0
754.8,138,0.0
2869.4,139,0.0
4787.6,139,0.0
6193.2,139,0.0
