DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50,81,0.0
50,81,0.0
50,81,0.0
50,81,0.0
50,81,0.0
50,81,0.0
24925,80,0.0
16274,80,0.0
8586,80,0.0
13700,80,0.0
17119,80,0.0
13023,80,0.0
16010,80,0.0
22776,80,0.0
30671,80,0.0
4606,80,0.0
1736,80,0.0
35138,80,0.0
33936,80,0.0
25971,80,0.0
19851,80,0.0
17709,80,0.0
16998,80,0.0
4111,80,0.0
6052,80,0.0
6512,80,0.0
10348,80,0.0
3854,80,0.0
3854,80,0.0
50,80,0.0
11171,80,0.0
11499,80,0.0
10498,80,0.0
11797,80,0.0
12909,80,0.0
13009,80,0.0
16879,80,0.0
22364,80,0.0
26253,80,0.0
28033,80,0.0
21557,80,0.0
50,80,0.0
12798,80,0.0
13269,80,0.0
10886,80,0.0
10954,80,0.0
14857,80,0.0
11829,80,0.0
10040,80,0.0
8786,80,0.0
6642,80,0.0
6453,80,0.0
13039,80,0.0
50,80,0.0
2837,80,0.0
9699,80,0.0
10981,80,0.0
9966,80,0.0
10108,80,0.0
8718,80,0.0
10118,80,0.0
9672,80,0.0
6363,80,0.0
8694,80,0.0
5212,80,0.0
5212,80,0.0
17022,81,0.0
12423,81,0.0
14986,82,0.0
18509,82,0.0
9605,82,0.0
9593,82,0.0
10029,83,0.0
15330,83,0.0
17115,83,0.0
11883,83,0.0
9542,84,0.0
50,84,0.0
8464,84,0.0
9232,84,0.0
11857,83,0.0
11075,83,0.0
10143,83,0.0
13085,83,0.0
13976,82,0.0
14374,82,0.0
12074,82,0.0
13737,81,0.0
50,81,0.0
50,81,0.0
12167,81,0.0
8454,82,0.0
9945,82,0.0
13297,82,0.0
14371,83,0.0
10667,83,0.0
10872,83,0.0
14406,83,0.0
6700,84,0.0
1458,84,0.0
50,84,0.0
9406,86,0.0
14917,86,0.0
18527,87,0.0
22153,87,0.0
20196,88,0.0
23534,88,0.0
28191,89,0.0
20116,89,0.0
15945,90,0.0
18249,90,0.0
16514,91,0.0
50,91,0.0
50,92,0.0
10150,91,0.0
23030,90,0.0
11542,89,0.0
3762,88,0.0
3452,87,0.0
4259,86,0.0
233,86,0.0
50,85,0.0
50,84,0.0
554,83,0.0
783,82,0.0
783,81,0.0
18264,81,2.7
16950,81,4.0
14846,81,5.3
14233,81,6.7
14233,81,8.0
12105,81,9.3
14875,81,10.7
11322,81,12.0
11404,81,13.3
10395,81,14.7
12692,81,16.0
50,81,17.3
13116,81,18.7
15246,81,17.3
10518,82,16.0
13302,82,14.7
16593,83,13.3
14495,83,12.0
6360,84,9.3
11293,84,8.0
18103,85,6.7
12762,85,5.3
14896,85,4.0
50,86,2.7
50,86,1.3
16287,86,0.0
15318,85,0.0
16384,85,0.0
14098,85,0.0
10822,84,0.0
9457,84,0.0
8564,84,0.0
9223,83,0.0
13479,83,0.0
4209,82,0.0
4209,82,0.0
15686,81,0.0
10123,81,0.0
8285,81,0.0
8195,81,0.0
8346,81,0.0
9229,80,0.0
7799,80,0.0
8190,80,0.0
7177,80,0.0
9080,80,0.0
7205,80,0.0
50,80,0.0
5212,80,0.0
9023,80,0.0
10884,80,0.0
13493,80,0.0
13198,80,0.0
18537,80,0.0
20378,80,0.0
16872,80,0.0
24399,80,0.0
23045,80,0.0
13483,80,0.0
50,80,0.0
8315,80,0.0
10907,80,0.0
10618,81,0.0
10851,81,0.0
14478,81,0.0
12726,81,0.0
13509,82,0.0
16889,82,0.0
12809,82,0.0
11205,82,0.0
6071,83,0.0
50,83,0.0
3228,83,0.0
11994,83,0.0
12289,83,0.0
8213,83,0.0
5679,83,0.0
6740,83,0.0
6360,82,0.0
7786,82,0.0
9023,82,0.0
10514,82,0.0
12088,82,0.0
3658,82,0.0
3658,82,0.0
17854,82,0.0
14175,82,0.0
14571,82,0.0
8260,82,0.0
9363,82,0.0
7822,82,0.0
11512,82,0.0
12064,82,0.0
13654,82,0.0
10756,82,0.0
50,82,0.0
13998,82,0.0
13346,82,0.0
7749,82,0.0
11024,82,0.0
14105,82,0.0
16741,82,0.0
25274,82,0.0
32192,82,0.0
35833,82,0.0
20280,82,0.0
24412,82,0.0
50,82,0.0
50,82,0.0
6355,82,0.0
18322,82,0.0
19357,82,0.0
17693,82,0.0
25422,82,0.0
30454,82,0.0
35425,82,0.0
31060,82,0.0
15098,82,0.0
18823,82,0.0
900,82,0.0
900,82,0.0
16662,82,0.0
17470,82,0.0
15265,82,0.0
14037,83,0.0
12336,83,0.0
13335,83,0.0
14629,83,0.0
18986,84,0.0
7361,84,0.0
3619,84,0.0
3619,84,0.0
12409,84,0.0
13308,84,0.0
9779,84,0.0
19468,84,0.0
12936,84,0.0
10443,84,0.0
12675,83,0.0
17537,83,0.0
4683,83,0.0
2360,83,0.0
50,83,0.0
9382,83,0.0
11783,83,0.0
6203,83,0.0
8156,84,0.0
9802,84,0.0
9117,84,0.0
9757,84,0.0
11096,84,0.0
16374,85,0.0
19871,85,0.0
20786,85,0.0
50,85,0.0
8305,85,0.0
50,85,0.0
50,85,0.0
50,84,0.0
9050,84,0.0
13679,84,0.0
15712,83,0.0
14496,83,0.0
10508,83,0.0
14910,83,0.0
11641,82,0.0
867,82,0.0
8934,82,0.0
9702,82,0.0
7986,82,0.0
8377,82,0.0
7513,82,0.0
9375,82,0.0
9589,82,0.0
4178,82,0.0
4178,82,0.0
8419,82,0.0
9709,82,0.0
10198,82,0.0
10975,82,0.0
10372,82,0.0
9676,82,0.0
9807,82,0.0
11147,82,0.0
8189,82,0.0
8612,82,0.0
8996,82,0.0
50,82,0.0
5170,83,0.0
25228,83,0.0
28866,83,0.0
25301,83,0.0
20019,83,0.0
20348,83,0.0
29152,84,0.0
25819,84,0.0
20083,85,0.0
10057,85,0.0
6932,85,0.0
50,86,0.0
5740,86,0.0
4815,87,0.0
6287,87,0.0
6952,88,0.0
5113,88,0.0
5319,89,0.0
36994,89,0.0
50,89,0.0
50,89,0.0
32037,88,0.0
87155,88,0.0
133130,88,0.0
92107,87,0.0
135232,87,0.0
154595,87,0.0
156387,87,0.0
125301,86,0.0
125301,86,0.0
24790,86,0.0
1017,86,0.0
15741,86,0.0
16826,86,0.0
16262,86,0.0
16407,86,0.0
13532,86,0.0
13896,86,0.0
17295,86,0.0
60724,86,0.0
161359,86,0.0
113713,86,0.0
890,86,0.0
50,86,0.0
50,86,0.0
14249,90,0.0
16257,92,0.0
16071,94,0.0
22929,96,0.0
71974,98,0.0
77593,102,0.0
70537,104,0.0
62557,106,0.0
40615,108,0.0
40615,110,0.0
6712,112,0.0
958,114,0.0
975,114,0.0
8721,111,0.0
17814,109,0.0
17814,106,0.0
17143,101,0.0
18556,98,0.0
12899,96,0.0
18548,93,0.0
20275,91,0.0
18765,85,0.0
18692,83,0.0
1951,80,0.0
1951,78,0.0
25025,78,0.0
23834,78,0.0
24853,79,0.0
24172,79,0.0
25575,79,0.0
25575,79,0.0
20904,80,0.0
22216,80,0.0
23701,80,0.0
12514,80,0.0
50,81,0.0
20860,80,0.0
29689,80,0.0
10073,80,0.0
16415,80,0.0
16415,80,0.0
23361,80,0.0
21980,80,0.0
22517,79,0.0
22362,79,0.0
23302,79,0.0
5985,79,0.0
8803,79,0.0
8803,79,0.0
50,79,0.0
5524,79,0.0
18170,79,0.0
22838,79,0.0
19180,79,0.0
15958,79,0.0
20858,79,0.0
17478,79,0.0
20030,79,0.0
21092,79,0.0
21822,79,0.0
5266,79,0.0
5266,79,0.0
23991,80,0.0
26637,80,0.0
23706,80,0.0
16780,80,0.0
23171,80,0.0
22825,80,0.0
20737,80,0.0
19739,80,0.0
20525,80,0.0
18279,80,0.0
9085,80,0.0
50,80,0.0
16948,80,0.0
22721,80,0.0
22038,80,0.0
20567,80,0.0
24769,80,0.0
19930,80,0.0
18139,80,0.0
21961,80,0.0
45547,80,0.0
88521,80,0.0
81417,80,0.0
50,80,0.0
50,80,0.0
27236,80,0.0
25108,80,0.0
24717,80,0.0
26114,80,0.0
25186,80,0.0
22920,80,0.0
23351,80,0.0
30731,80,0.0
26993,80,0.0
50,80,0.0
50,80,0.0
25788,80,0.0
23065,80,0.0
26135,80,0.0
29988,80,0.0
25734,80,0.0
25011,81,0.0
28685,81,0.0
25040,81,0.0
20953,81,0.0
24841,81,0.0
11858,81,0.0
50,81,0.0
21550,81,0.0
19536,81,0.0
125964,81,0.0
150178,80,0.0
259593,80,0.0
262060,80,0.0
242514,80,0.0
226696,80,0.0
108486,79,0.0
61357,79,0.0
50,79,0.0
7566,79,0.0
22787,79,0.0
22021,79,0.0
23057,79,0.0
88042,79,0.0
98117,79,0.0
29438,80,0.0
28796,80,0.0
38611,80,0.0
46664,80,0.0
5535,80,0.0
5535,80,0.0
16971,80,0.0
19099,80,0.0
20844,80,0.0
61971,80,0.0
247063,79,0.0
276859,79,0.0
340427,79,0.0
294462,79,0.0
303771,79,0.0
117534,78,0.0
105362,78,0.0
50,78,0.0
9726,78,0.0
23836,78,0.0
24511,78,0.0
22183,78,0.0
23296,78,0.0
21098,78,0.0
18610,78,0.0
21349,78,0.0
20095,78,0.0
22036,78,0.0
654,78,0.0
654,79,0.0
66961,79,0.0
99302,79,0.0
72115,79,0.0
130209,79,0.0
151774,79,0.0
135172,80,0.0
146257,80,0.0
167677,80,0.0
158575,80,0.0
51281,80,0.0
50,80,0.0
16281,81,0.0
24659,81,0.0
22825,81,0.0
22871,81,0.0
24042,81,0.0
23778,81,0.0
22545,81,0.0
23959,81,0.0
24719,81,0.0
23209,81,0.0
24107,81,0.0
50,81,0.0
50,80,0.0
21353,80,0.0
18922,80,0.0
23568,80,0.0
22262,80,0.0
23057,80,0.0
21832,79,0.0
21775,79,0.0
22441,79,0.0
19986,79,0.0
8077,79,0.0
8077,79,0.0
71476,79,0.0
159769,79,0.0
111694,79,0.0
147752,80,0.0
101743,80,0.0
129150,80,0.0
69107,80,0.0
62553,80,0.0
75093,81,0.0
79179,81,0.0
41839,81,0.0
50,81,0.0
50,81,0.0
14195,81,0.0
18842,81,0.0
20042,81,0.0
18900,81,0.0
19406,80,0.0
18844,80,0.0
20067,80,0.0
23720,80,0.0
59278,80,0.0
64723,79,0.0
106595,79,0.0
50,79,0.0
13041,79,0.0
103411,79,0.0
129450,79,0.0
140680,79,0.0
111661,79,0.0
112755,79,0.0
142109,79,0.0
165863,79,0.0
164354,79,0.0
80965,79,0.0
159146,79,0.0
38745,80,0.0
335,80,0.0
78630,80,0.0
105529,80,0.0
87984,81,0.0
100511,81,0.0
99939,81,0.0
108541,81,0.0
155319,81,0.0
325545,82,0.0
281284,82,0.0
75446,82,0.0
50,82,0.0
10913,82,0.0
22334,82,0.0
54279,82,0.0
189246,82,0.0
302671,81,0.0
260550,81,0.0
191382,81,0.0
215458,81,0.0
212929,81,0.0
220266,80,0.0
73735,80,0.0
73735,80,0.0
25491,80,0.0
69935,80,0.0
64022,80,0.0
75759,80,0.0
59621,80,0.0
64971,80,0.0
62838,81,0.0
59894,81,0.0
58404,81,0.0
63760,81,0.0
37621,81,0.0
50,81,0.0
12010,81,0.0
19685,81,0.0
20271,81,0.0
51445,81,0.0
93890,81,0.0
86599,81,0.0
77663,81,0.0
87718,81,0.0
162360,81,0.0
165274,81,0.0
