DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50,72,0.0
50,72,0.0
50,71,0.0
14199,71,0.0
27292,70,0.0
133037,70,0.0
168763,70,0.0
160461,69,0.0
164948,69,0.0
162083,69,0.0
155306,68,0.0
165436,68,0.0
151753,68,0.0
50,67,0.0
8183,67,0.0
17765,68,0.0
56367,68,0.0
111665,68,0.0
108687,69,0.0
108466,69,0.0
105553,69,0.0
84461,70,0.0
68214,70,0.0
72586,70,0.0
57117,71,0.0
50,71,0.0
16533,71,0.0
22433,71,0.0
21357,71,0.0
20815,70,0.0
21725,70,0.0
20543,70,0.0
21326,70,0.0
21238,70,0.0
21265,69,0.0
4167,69,0.0
4167,69,0.0
20679,68,0.0
21212,68,0.0
21762,68,0.0
21935,68,0.0
22945,68,0.0
22874,68,0.0
20948,68,0.0
19121,68,0.0
22289,68,0.0
21667,68,0.0
50,68,0.0
6060,68,0.0
15471,68,0.0
15469,68,0.0
16515,68,0.0
17305,68,0.0
14380,68,0.0
16803,68,0.0
11362,68,0.0
16010,68,0.0
16733,68,0.0
13214,68,0.0
50,68,0.0
10156,68,0.0
21749,68,0.0
22890,68,0.0
21894,68,0.0
100073,68,0.0
132717,68,0.0
131584,67,0.0
140030,67,0.0
129080,67,0.0
88489,67,0.0
105914,67,0.0
50,67,0.0
17499,67,0.0
22342,67,0.0
22445,68,0.0
20815,68,0.0
19469,68,0.0
19716,68,0.0
21282,69,0.0
17803,69,0.0
21540,69,0.0
20337,69,0.0
11361,70,0.0
50,70,0.0
11495,70,0.0
21629,70,0.0
19706,70,0.0
20407,70,0.0
16531,70,0.0
18909,70,0.0
18839,69,0.0
20115,69,0.0
19611,69,0.0
18448,69,0.0
10366,69,0.0
10366,69,0.0
50,69,0.0
16423,69,0.0
20383,69,0.0
19590,70,0.0
19456,70,0.0
20056,70,0.0
21148,70,0.0
20119,70,0.0
22357,71,0.0
19494,71,0.0
741,71,0.0
2388,71,0.0
15960,70,0.0
20383,70,0.0
19099,70,0.0
18341,69,0.0
19022,69,0.0
19020,68,0.0
19880,68,0.0
17623,68,0.0
20155,67,0.0
19034,67,0.0
50,66,0.0
6728,66,0.0
18622,66,0.0
19674,66,0.0
18346,66,0.0
19449,66,0.0
19437,66,0.0
19124,66,0.0
19987,66,0.0
18600,66,0.0
73663,66,0.0
119882,66,0.0
50,66,0.0
9744,67,0.0
20440,67,0.0
21166,68,0.0
21003,68,0.0
19670,68,0.0
21319,68,0.0
20035,69,0.0
19329,69,0.0
18964,69,0.0
20665,69,0.0
17141,70,0.0
50,70,0.0
10682,71,0.0
23512,71,0.0
20814,71,0.0
19238,72,0.0
35366,72,0.0
58321,72,0.0
60946,72,0.0
65288,72,0.0
67692,73,0.0
69977,73,0.0
46923,73,0.0
50,73,0.0
11192,73,0.0
16485,73,0.0
13856,73,0.0
15101,73,0.0
15671,72,0.0
13884,72,0.0
44359,72,0.0
55541,72,0.0
57633,72,0.0
62194,71,0.0
56496,71,0.0
50,71,0.0
13163,71,0.0
18792,71,0.0
19452,71,0.0
19043,71,0.0
18509,71,0.0
19052,71,0.0
18180,71,0.0
18873,71,0.0
18630,71,0.0
17802,71,0.0
6984,71,0.0
50,70,0.0
17989,70,0.0
21644,70,0.0
21371,70,0.0
25803,70,0.0
123056,70,0.0
145263,70,0.0
142149,70,0.0
133394,70,0.0
125923,70,0.0
119638,70,0.0
52960,70,0.0
52960,69,0.0
50,69,0.0
17678,69,0.0
