DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50,73,30.0
50,68,46.7
50,68,46.7
50,68,43.3
8254,68,36.7
8958,68,33.3
4082,68,30.0
15492,68,26.7
10893,68,23.3
11688,68,20.0
15580,68,16.7
13716,68,13.3
11360,68,10.0
50,69,6.7
10740,69,0.0
13040,69,0.0
9122,70,0.0
12277,70,0.0
14753,70,0.0
12684,70,0.0
10039,70,0.0
9083,71,0.0
11357,71,0.0
3271,71,0.0
50,71,0.0
50,71,0.0
16725,71,0.0
15860,70,0.0
17785,70,0.0
14486,70,0.0
9183,70,0.0
10339,69,0.0
15572,69,0.0
15988,69,0.0
17507,69,0.0
1205,68,0.0
1205,68,0.0
3955,68,0.0
14387,68,0.0
10294,68,0.0
9299,68,0.0
11204,68,0.0
7303,68,0.0
10251,68,0.0
9823,68,0.0
10936,68,0.0
12719,68,0.0
15249,68,0.0
50,68,0.0
6356,68,0.0
17558,68,0.0
18665,68,0.0
14246,68,0.0
11502,68,0.0
11502,68,0.0
17819,68,0.0
17791,68,0.0
18363,68,0.0
13015,68,0.0
9324,68,0.0
7016,68,0.0
50,68,0.0
9418,68,0.0
17970,68,0.0
17970,68,0.0
11637,68,0.0
13009,68,0.0
8610,68,0.0
10522,68,0.0
10097,68,0.0
12476,68,0.0
7262,68,0.0
6640,68,0.0
50,68,0.0
8049,68,0.0
17184,68,0.0
14234,68,0.0
6460,68,0.0
17614,68,0.0
14320,68,0.0
17780,68,0.0
10224,68,0.0
19208,68,0.0
17833,68,0.0
12747,68,0.0
50,68,0.0
13092,68,0.0
15440,69,0.0
17152,69,0.0
16440,69,0.0
16440,70,0.0
14930,70,0.0
10160,70,0.0
11887,71,0.0
189,71,0.0
5798,71,0.0
12472,72,0.0
9753,72,0.0
50,72,0.0
14580,72,0.0
19475,71,0.0
5045,71,0.0
17060,71,0.0
15746,71,0.0
7217,70,0.0
13660,70,0.0
12033,70,0.0
12725,69,0.0
5378,69,0.0
5378,69,0.0
16149,69,0.0
15770,69,0.0
17565,69,0.0
3655,69,0.0
13272,69,0.0
10722,69,0.0
