DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50,71,0.0
3603,71,0.0
16963,71,0.0
2902,71,0.0
50,71,0.0
6698,71,0.0
17270,71,0.0
32132,71,0.0
32132,70,0.0
24392,70,0.0
15484,70,0.0
21859,69,0.0
16350,69,0.0
10351,69,0.0
9268,68,0.0
23459,68,0.0
23459,68,0.0
62130,67,0.0
57640,67,0.0
63634,66,0.0
63206,66,0.0
60513,66,0.0
35739,66,0.0
50,66,0.0
50,66,0.0
7617,66,0.0
19201,66,0.0
22118,66,0.0
21573,66,0.0
122478,66,0.0
270157,66,0.0
346367,66,0.0
335810,66,0.0
324598,66,0.0
305656,66,0.0
50,66,0.0
50,66,0.0
17337,66,0.0
34608,66,0.0
34327,66,0.0
34860,66,0.0
38194,66,0.0
37488,66,0.0
38206,66,0.0
34559,66,0.0
39201,66,0.0
35439,66,0.0
20428,66,0.0
50,66,0.0
21206,66,0.0
24186,66,0.0
25038,66,0.0
25725,66,0.0
102522,66,0.0
159952,66,0.0
178075,66,0.0
175340,66,0.0
171317,66,0.0
169172,66,0.0
103893,66,0.0
103893,67,0.0
50,68,0.0
29439,69,0.0
30308,69,0.0
33676,70,0.0
32096,71,0.0
28703,71,0.0
27636,72,0.0
28589,73,0.0
27522,73,0.0
27522,74,0.0
28021,75,0.0
50,75,0.0
4063,76,0.0
20694,75,0.0
23609,74,0.0
24867,74,0.0
24101,73,0.0
24354,72,0.0
24169,71,0.0
24658,71,0.0
23446,70,0.0
42786,69,0.0
157421,68,0.0
5023,68,0.0
6257,66,0.0
17960,66,0.0
19101,66,0.0
20154,66,0.0
19994,66,0.0
20131,66,0.0
20172,66,0.0
19685,66,0.0
18701,66,0.0
20045,66,0.0
19606,66,0.0
50,66,0.0
50,66,0.0
8811,66,0.0
33100,66,0.0
30751,66,0.0
28885,66,0.0
27426,66,0.0
29292,66,0.0
30213,66,0.0
28170,66,0.0
28887,66,0.0
28887,66,0.0
784,66,0.0
784,66,0.0
12339,67,0.0
31544,67,0.0
30382,67,0.0
20688,67,0.0
3304,67,0.0
3292,67,0.0
2299,67,0.0
2299,67,0.0
50,67,0.0
4042,67,0.0
4838,67,0.0
4045,67,0.0
4578,66,0.0
3659,66,0.0
2509,66,0.0
5888,66,0.0
10321,66,0.0
6909,66,0.0
2314,66,0.0
11718,95,0.0
18832,110,0.0
17658,124,0.0
17930,139,0.0
18410,153,0.0
18618,168,0.0
63509,197,0.0
124526,212,0.0
157082,226,0.0
45170,241,0.0
50,246,0.0
471,258,0.0
2517,249,0.0
1784,240,0.0
1790,231,0.0
2065,222,0.0
2423,214,0.0
2453,205,0.0
2835,196,0.0
2886,187,0.0
1692,178,0.0
50,169,0.0
79,152,0.0
624,152,0.0
658,153,0.0
513,153,0.0
257,153,0.0
927,153,0.0
1270,153,0.0
1211,154,0.0
1312,154,0.0
996,154,0.0
50,148,0.0
1015,137,0.0
2088,131,0.0
2337,125,0.0
3346,119,0.0
2057,113,0.0
209,107,0.0
1988,101,0.0
1988,98,0.0
64,95,0.0
6614,92,0.0
7362,89,0.0
8373,85,0.0
6316,82,0.0
4033,85,0.0
13148,88,0.0
7467,91,0.0
9098,94,0.0
8247,96,0.0
177,99,0.0
177,99,0.0
6613,100,0.0
7298,97,0.0
6704,94,0.0
10204,92,0.0
