DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
14046.0,88,0.0
13800.6,87,0.0
13834.8,86,0.0
11890.2,85,0.0
9007.4,84,0.0
7630.2,83,0.0
8400.6,81,0.0
10511.4,81,0.0
12532.8,81,0.0
12394.8,81,0.0
10952.8,81,0.0
9344.4,81,0.0
8986.0,81,0.0
9380.2,81,0.0
9917.4,81,0.0
8063.8,81,0.0
6641.2,81,0.0
6044.0,81,0.0
6310.0,81,0.0
8480.2,81,0.0
10916.4,81,0.0
13129.0,81,0.0
14079.4,81,0.0
14672.2,81,0.0
16850.4,81,0.0
19761.6,81,0.0
20532.4,81,0.0
21236.0,81,0.0
17974.2,81,0.0
9446.4,81,0.0
9410.6,81,0.0
16472.0,81,0.0
22660.6,81,0.0
26820.4,81,0.0
26821.4,81,0.0
26484.6,81,0.0
26939.8,81,0.0
27108.6,81,0.0
23349.4,81,0.0
17748.6,81,0.0
12485.6,81,0.0
5842.2,81,0.0
9000.2,81,0.0
11846.4,81,0.0
14716.2,81,0.0
14268.2,81,0.0
14278.4,81,0.0
13915.8,81,0.0
14329.8,81,0.0
13885.2,81,0.0
13693.6,81,0.0
10601.6,81,0.0
7669.4,81,0.0
6212.0,81,0.0
6267.8,81,0.0
6530.4,81,0.0
8776.2,81,0.0
10994.8,81,0.0
10650.4,81,0.0
10152.4,81,0.0
9999.0,80,0.0
9806.8,80,0.0
9682.0,80,0.0
7697.6,80,0.0
5987.2,80,0.0
3979.4,80,0.0
5186.0,80,0.0
9666.8,80,0.0
12846.8,80,0.0
15730.2,80,0.0
15646.4,80,0.0
14765.4,80,0.0
13181.0,80,0.0
11551.6,80,0.0
9373.6,80,0.0
7014.4,80,0.0
5015.6,80,0.0
4961.6,80,0.0
9857.4,81,0.0
13055.6,81,0.0
16545.2,82,0.0
15370.6,82,0.0
13367.0,82,0.0
12729.4,82,0.0
12639.4,83,0.0
12371.2,83,0.0
12638.4,83,0.0
13914.6,83,0.0
11277.4,84,0.0
6671.6,84,0.0
7809.0,84,0.0
12730.8,84,0.0
15630.6,84,0.0
16040.0,84,0.0
15484.4,83,0.0
13921.8,83,0.0
12610.6,83,0.0
11659.4,83,0.0
9525.6,83,0.0
6470.4,82,0.0
5002.2,82,0.0
6560.4,82,0.0
8739.2,81,0.0
13008.8,81,0.0
12990.4,81,0.0
13093.0,81,0.0
13617.8,81,0.0
13301.4,81,0.0
13663.4,81,0.0
14121.8,81,0.0
12848.2,81,0.0
10145.0,81,0.0
7735.0,81,0.0
7856.8,81,0.0
9365.0,81,0.0
11954.6,81,0.0
13432.4,81,0.0
11588.2,81,0.0
9805.6,81,0.0
9297.8,81,0.0
8739.8,81,0.0
9138.6,81,0.0
9434.4,81,0.0
9377.0,81,0.0
7032.2,81,0.0
5264.8,82,0.0
8215.8,82,0.0
11345.6,82,0.0
14755.4,82,0.0
16351.4,82,0.0
14744.2,82,0.0
14166.8,82,0.0
12765.4,82,0.0
11730.6,82,0.0
10004.6,82,0.0
7244.6,82,0.0
4986.0,82,0.0
5635.4,82,0.0
5536.2,82,0.0
7665.2,82,0.0
10054.2,82,0.0
13232.6,82,0.0
