DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50,79,0.0
50,81,0.0
50,83,0.0
50,86,0.0
2013,84,0.0
14348,83,0.0
17229,83,0.0
10414,82,0.0
8445,81,0.0
5816,80,0.0
4196,79,0.0
5252,79,0.0
6198,78,0.0
3376,77,0.0
3376,76,0.0
14607,74,0.0
11938,74,0.0
14205,74,0.0
15122,74,0.0
21587,74,0.0
15154,74,0.0
14103,74,0.0
16752,74,0.0
14651,74,0.0
50,74,0.0
50,74,0.0
18772,74,0.0
12262,74,0.0
15545,74,0.0
13408,74,0.0
9378,74,0.0
11188,75,0.0
10195,75,0.0
8880,75,0.0
6256,75,0.0
8816,75,0.0
50,75,0.0
50,75,0.0
6904,75,0.0
4205,75,0.0
2020,75,0.0
2783,75,0.0
8134,75,0.0
10238,74,0.0
8266,74,0.0
9292,74,0.0
6881,74,0.0
6501,74,0.0
50,74,0.0
50,74,0.0
8223,74,0.0
9940,74,0.0
4951,74,0.0
4227,74,0.0
11614,74,0.0
8904,74,0.0
8348,74,0.0
16074,74,0.0
15494,74,0.0
8108,74,0.0
8108,74,0.0
50,74,0.0
50,74,0.0
13650,74,0.0
10094,74,0.0
8622,74,0.0
6659,74,0.0
8815,74,0.0
9798,75,0.0
8537,75,0.0
6173,75,0.0
4342,75,0.0
9180,75,0.0
4107,75,0.0
50,75,0.0
50,75,0.0
9771,75,0.0
10349,75,0.0
11095,75,0.0
14690,75,0.0
11519,74,0.0
11443,74,0.0
9761,74,0.0
13255,74,0.0
13255,74,0.0
1995,74,0.0
2883,74,0.0
8038,74,0.0
15994,74,0.0
17259,74,0.0
16612,74,0.0
17452,74,0.0
17310,74,0.0
17330,74,0.0
15476,74,0.0
8723,74,0.0
3212,74,0.0
122,74,0.0
4036,74,0.0
17631,74,0.0
16624,74,0.0
10693,74,0.0
7846,74,0.0
5912,74,0.0
3592,74,0.0
4320,74,0.0
2367,74,0.0
3879,74,0.0
5766,74,0.0
50,74,0.0
10312,74,0.0
22079,74,0.0
16346,74,0.0
5705,74,0.0
3716,74,0.0
3656,75,0.0
3500,75,0.0
5091,75,0.0
10807,75,0.0
7434,75,0.0
50,75,0.0
8898,76,0.0
3720,76,0.0
7997,76,0.0
7473,76,0.0
12762,76,0.0
13441,76,0.0
15083,76,0.0
5363,76,0.0
5697,76,0.0
3546,76,0.0
3546,80,1.3
14772,89,4.0
12186,93,5.3
10567,97,6.7
11272,101,8.0
17452,105,9.3
17241,109,10.7
10051,113,12.0
11414,117,13.3
6099,121,14.7
50,129,17.3
50,133,18.7
7935,129,17.3
5238,125,16.0
4503,120,14.7
6482,116,13.3
8419,112,12.0
8174,108,10.7
8829,103,9.3
8829,99,8.0
8804,91,5.3
7120,86,4.0
50,82,2.7
50,78,1.3
5764,74,0.0
1782,74,0.0
16170,74,0.0
7153,74,0.0
9172,74,0.0
8271,74,0.0
8271,74,0.0
4264,74,0.0
5389,74,0.0
4052,74,0.0
5989,74,0.0
6982,74,0.0
50,74,0.0
50,74,0.0
9170,74,0.0
8194,74,0.0
5962,74,0.0
5962,74,0.0
6998,74,0.0
5281,74,0.0
6504,74,0.0
7395,74,0.0
7885,74,0.0
7307,74,0.0
5141,74,0.0
50,74,0.0
50,74,0.0
50,74,0.0
8300,74,0.0
8712,74,0.0
11522,74,0.0
9777,74,0.0
10868,73,0.0
11120,73,0.0
9172,73,0.0
