DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
14908,82,0.0
9877,82,0.0
10116,82,0.0
11466,82,0.0
14350,83,0.0
12477,83,0.0
16733,83,0.0
4194,83,0.0
50,83,0.0
10011,83,0.0
9879,83,0.0
8400,83,0.0
8400,83,0.0
18414,82,0.0
6132,82,0.0
6499,82,0.0
13795,82,0.0
15658,82,0.0
21004,81,0.0
13581,81,0.0
50,81,0.0
50,81,0.0
7225,81,0.0
13900,81,0.0
15280,81,0.0
12689,81,0.0
14712,81,0.0
14460,81,0.0
15465,81,0.0
3884,81,0.0
4874,81,0.0
10762,81,0.0
18583,81,0.0
2317,81,0.0
2317,81,0.0
736,81,0.0
50,81,0.0
50,81,0.0
3095,81,0.0
20980,81,0.0
22038,81,0.0
13278,81,0.0
11287,81,0.0
13442,81,0.0
10116,81,0.0
50,81,0.0
12260,81,0.0
18127,81,0.0
14601,81,0.0
10295,81,0.0
13936,81,0.0
16191,81,0.0
12725,81,0.0
10860,82,0.0
9120,82,0.0
8348,82,0.0
9342,82,0.0
50,82,0.0
50,82,0.0
15197,82,0.0
20610,82,0.0
20032,82,0.0
10117,81,0.0
6009,81,0.0
11223,81,0.0
18634,81,0.0
20779,81,0.0
24135,80,0.0
29461,80,0.0
4830,80,0.0
4830,80,0.0
27378,80,0.0
13992,80,0.0
14333,80,0.0
17089,80,0.0
23267,80,0.0
28404,80,0.0
28254,80,0.0
22626,80,0.0
26336,80,0.0
12781,80,0.0
3942,80,0.0
50,80,0.0
50,81,0.0
21968,81,0.0
20504,81,0.0
21035,81,0.0
18328,81,0.0
15974,81,0.0
22993,81,0.0
11680,81,0.0
12319,81,0.0
16216,81,0.0
21939,81,0.0
15684,81,0.0
50,81,0.0
22484,81,0.0
33741,81,0.0
23502,81,0.0
13778,81,0.0
13186,81,0.0
7097,81,0.0
5650,81,0.0
8318,81,0.0
14116,81,0.0
16340,81,0.0
50,81,0.0
5136,81,0.0
24389,81,0.0
24057,81,0.0
23866,81,0.0
18754,81,0.0
10727,81,0.0
9072,81,0.0
12259,81,0.0
7399,81,0.0
12735,81,0.0
2570,81,0.0
2570,81,0.0
50,81,0.0
15739,81,0.0
27780,81,0.0
22252,81,0.0
12328,81,0.0
13078,81,0.0
20631,81,0.0
17670,81,0.0
12313,81,0.0
3608,81,0.0
6976,81,0.0
3195,81,0.0
50,81,0.0
12788,81,0.0
10123,81,0.0
10698,81,0.0
12407,82,0.0
4081,82,0.0
7545,82,0.0
5346,82,0.0
4513,82,0.0
11024,83,0.0
16208,83,0.0
9040,83,0.0
50,83,0.0
5639,83,0.0
7413,83,0.0
10881,83,0.0
9227,83,0.0
8687,83,0.0
4279,83,0.0
7876,83,0.0
9970,83,0.0
5814,83,0.0
12358,83,0.0
5335,83,0.0
50,83,0.0
50,83,0.0
12162,82,0.0
10376,82,0.0
7430,82,0.0
10700,82,0.0
11233,82,0.0
9402,82,0.0
10006,82,0.0
12438,82,0.0
7050,82,0.0
1518,82,0.0
1518,82,0.0
10460,82,0.0
10294,82,0.0
6999,82,0.0
10228,82,0.0
14046,82,0.0
15400,82,0.0
20328,82,0.0
10709,82,0.0
16587,82,0.0
14949,82,0.0
14949,82,0.0
50,82,0.0
11163,82,1.3
12270,82,4.0
13901,82,5.3
7587,82,6.7
10332,82,8.0
11643,82,9.3
9089,82,10.7
9538,82,12.0
10334,82,14.7
11828,82,16.0
12347,82,17.3
50,82,18.7
50,82,18.7
13445,82,16.0
11119,82,14.7
11822,82,13.3
10931,82,12.0
9314,82,10.7
8554,82,9.3
10693,82,8.0
11375,82,6.7
7553,82,5.3
2557,82,4.0
50,82,2.7
12699,82,0.0
9864,82,0.0
9361,82,0.0
5078,82,0.0
8801,82,0.0
8728,82,0.0
8551,82,0.0
7880,82,0.0
9755,82,0.0
13392,82,0.0
8317,82,0.0
50,82,0.0
50,82,0.0
9796,82,0.0
11880,82,0.0
14570,82,0.0
12638,82,0.0
15735,82,0.0
10948,82,0.0
5331,81,0.0
7438,81,0.0
12412,81,0.0
8430,81,0.0
5459,81,0.0
50,81,0.0
50,81,0.0
10799,82,0.0
12008,82,0.0
8688,83,0.0
9990,83,0.0
9159,83,0.0
6352,84,0.0
8318,84,0.0
8318,85,0.0
15853,85,0.0
2466,86,0.0
2385,87,0.0
23202,86,0.0
25636,86,0.0
23829,86,0.0
23829,86,0.0
10836,85,0.0
12308,85,0.0
10906,85,0.0
10580,85,0.0
12958,85,0.0
15936,84,0.0
15936,84,0.0
50,84,0.0
13081,83,0.0
9476,83,0.0
11125,83,0.0
12736,83,0.0
12467,83,0.0
14121,83,0.0
12748,83,0.0
9739,83,0.0
11905,83,0.0
12939,83,0.0
11195,83,0.0
50,83,0.0
7715,83,0.0
11706,83,0.0
