DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
218326.6,81,0.0
204236.6,80,0.0
193650.2,80,0.0
148820.8,79,0.0
109045.0,78,0.0
70689.4,77,0.0
44179.2,76,0.0
65698.6,76,0.0
94924.6,76,0.0
112059.6,76,0.0
116212.6,76,0.0
124714.4,76,0.0
130822.2,76,0.0
140156.8,76,0.0
129121.6,76,0.0
102598.2,76,0.0
76091.4,76,0.0
59956.2,76,0.0
40709.0,76,0.0
54179.4,76,0.0
67922.2,77,0.0
68733.6,77,0.0
74018.6,77,0.0
75714.0,77,0.0
80021.0,77,0.0
80070.4,78,0.0
67767.2,78,0.0
48716.2,78,0.0
33551.2,78,0.0
24776.8,79,0.0
37517.0,80,0.0
41016.8,80,0.0
42536.4,81,0.0
41699.4,81,0.0
34776.6,82,0.0
45745.6,82,0.0
59923.4,83,0.0
56397.2,83,0.0
47640.8,83,0.0
35479.0,84,0.0
23908.6,84,0.0
7923.8,83,0.0
6816.0,83,0.0
6972.8,82,0.0
10290.6,82,0.0
17603.2,81,0.0
24874.4,80,0.0
26899.4,80,0.0
26796.0,79,0.0
22339.6,79,0.0
12600.4,78,0.0
4487.6,77,0.0
6300.6,77,0.0
35448.6,75,0.0
46460.8,75,0.0
61053.2,75,0.0
71000.4,75,0.0
77744.2,75,0.0
73003.0,75,0.0
84776.4,75,0.0
95521.4,75,0.0
106606.0,75,0.0
86996.0,75,0.0
51087.2,75,0.0
27762.0,75,0.0
9686.6,74,0.0
13774.8,74,0.0
17181.8,74,0.0
26501.4,74,0.0
50444.4,74,0.0
103979.2,74,0.0
148638.0,74,0.0
185002.0,74,0.0
205409.4,74,0.0
177951.8,74,0.0
120669.8,74,0.0
74953.2,74,0.0
11456.4,73,0.0
15533.6,73,0.0
19287.2,73,0.0
20010.6,73,0.0
19782.0,73,0.0
20070.8,73,0.0
20404.8,73,0.0
20781.6,73,0.0
21016.2,73,0.0
21217.8,73,0.0
17006.4,73,0.0
10186.4,73,0.0
12227.6,73,0.0
75851.8,73,0.0
102270.2,73,0.0
127697.0,73,0.0
149547.0,73,0.0
138665.6,73,0.0
137303.2,74,0.0
128297.6,74,0.0
119824.8,74,0.0
95147.0,74,0.0
68712.2,74,0.0
43134.6,74,0.0
25117.0,75,0.0
86031.8,75,0.0
147985.6,75,0.0
212209.8,75,0.0
269824.8,75,0.0
302306.0,75,0.0
280543.2,75,0.0
260997.2,75,0.0
243018.8,75,0.0
213395.2,75,0.0
169445.2,75,0.0
89716.4,75,0.0
128270.2,74,0.0
177101.0,74,0.0
219868.2,74,0.0
257020.6,74,0.0
228846.4,74,0.0
206814.0,74,0.0
198237.2,74,0.0
195806.0,74,0.0
179410.2,74,0.0
145671.6,74,0.0
110392.8,74,0.0
90581.4,74,0.0
132382.8,74,0.0
188749.2,74,0.0
245602.8,74,0.0
