DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50,67,0.0
50,67,0.0
50,67,0.0
50,67,0.0
50,67,0.0
14834,68,0.0
10272,68,0.0
9595,68,0.0
9179,69,0.0
11018,69,0.0
15544,69,0.0
11105,70,0.0
10956,70,0.0
13098,70,0.0
6434,71,0.0
8740,71,0.0
13201,71,0.0
12685,70,0.0
7431,70,0.0
12713,70,0.0
12956,70,0.0
12599,69,0.0
11447,69,0.0
10249,69,0.0
16770,69,0.0
14805,68,0.0
50,68,0.0
7485,68,0.0
32863,68,0.0
28175,68,0.0
21798,68,0.0
27821,69,0.0
22475,69,0.0
22540,69,0.0
20636,69,0.0
6473,70,0.0
12039,70,0.0
9181,70,0.0
50,70,0.0
5024,71,0.0
6782,71,0.0
10967,71,0.0
14510,71,0.0
9513,71,0.0
13007,72,0.0
14262,72,0.0
19685,72,0.0
12857,72,0.0
16234,72,0.0
875,72,0.0
8490,73,13.3
13304,73,20.0
7243,73,26.7
8648,73,40.0
10381,73,46.7
156,73,53.3
4723,73,60.0
1228,73,66.7
1182,73,73.3
345,74,86.7
50,74,93.3
55,74,86.7
50,75,80.0
50,75,73.3
56,75,66.7
50,75,53.3
50,76,46.7
50,76,40.0
50,76,26.7
313,76,13.3
50,76,6.7
22101,76,0.0
21100,76,0.0
14144,77,0.0
6719,77,0.0
10990,77,0.0
6066,77,0.0
50,77,0.0
50,78,0.0
50,78,0.0
243,78,0.0
5552,78,0.0
5145,78,0.0
5145,79,0.0
6382,79,0.0
6702,78,0.0
9136,78,0.0
8311,78,0.0
3285,77,0.0
5750,77,0.0
5821,77,0.0
983,77,0.0
4701,76,0.0
7239,76,0.0
7730,76,0.0
8681,75,0.0
11191,75,0.0
4970,75,0.0
50,74,0.0
50,74,0.0
8237,74,0.0
11877,73,0.0
15809,73,0.0
19716,73,0.0
13287,73,0.0
19511,72,0.0
17638,72,0.0
15939,72,0.0
19005,72,0.0
18584,71,0.0
13457,71,0.0
13457,71,0.0
50,70,0.0
19355,70,0.0
18576,70,0.0
16176,70,0.0
16342,70,0.0
19108,70,0.0
20460,70,0.0
14879,70,0.0
15591,70,0.0
16604,71,0.0
8372,72,0.0
50,73,0.0
9952,75,0.0
15652,76,0.0
10043,77,0.0
