DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
214,79,0.0
86,81,0.0
50,83,0.0
12607,84,0.0
12600,83,0.0
9284,82,0.0
6386,81,0.0
4457,80,0.0
4454,79,0.0
3021,78,0.0
3736,77,0.0
4927,76,0.0
2075,75,0.0
50,74,0.0
50,73,0.0
8998,72,0.0
5564,72,0.0
4871,72,0.0
6197,72,0.0
4847,72,0.0
5150,72,0.0
3090,72,0.0
5622,72,0.0
3719,72,0.0
3990,72,0.0
50,72,0.0
50,72,0.0
6419,72,0.0
2074,72,0.0
1995,72,0.0
4481,72,0.0
3608,72,0.0
2957,72,0.0
1466,72,0.0
3292,72,0.0
3434,72,0.0
4776,72,0.0
2002,72,0.0
50,72,0.0
5627,73,0.0
9593,73,0.0
6680,73,0.0
1692,73,0.0
5745,73,0.0
3880,73,0.0
3819,73,0.0
7824,73,0.0
6179,73,0.0
1265,73,0.0
1704,73,0.0
9109,73,0.0
7163,73,0.0
5143,73,0.0
7473,73,0.0
8110,73,0.0
8013,73,0.0
9555,73,0.0
14294,73,0.0
6952,73,0.0
6952,73,0.0
307,73,0.0
4714,73,0.0
7382,73,0.0
7382,73,0.0
7307,73,0.0
8259,73,0.0
8990,73,0.0
3629,73,0.0
4400,73,0.0
10064,73,0.0
3079,73,0.0
50,73,0.0
9937,74,0.0
8912,74,0.0
5255,75,0.0
3616,76,0.0
3032,76,0.0
3890,77,0.0
2815,77,0.0
3775,78,0.0
3225,79,0.0
852,79,0.0
50,80,0.0
844,79,0.0
413,79,0.0
636,78,0.0
345,77,0.0
1438,76,0.0
458,76,0.0
437,75,0.0
640,75,0.0
2621,73,0.0
784,73,0.0
784,72,0.0
882,76,2.7
614,78,4.0
2788,83,6.7
4714,85,8.0
3649,87,9.3
924,89,10.7
222,91,12.0
586,94,13.3
847,96,14.7
768,100,17.3
231,102,18.7
231,103,18.7
50,102,17.3
2067,100,16.0
2916,99,14.7
2365,97,13.3
1920,94,10.7
