DL_bitrate,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
50,70,0.0
50,71,0.0
50,73,0.0
50,77,0.0
2044,79,0.0
213414,79,0.0
229175,78,0.0
244111,77,0.0
231592,77,0.0
244656,76,0.0
196120,75,0.0
206893,75,0.0
211201,74,0.0
173292,73,0.0
40859,73,0.0
40859,72,0.0
19368,70,0.0
17883,69,0.0
19642,69,0.0
20543,69,0.0
20164,69,0.0
20268,68,0.0
20482,68,0.0
19675,68,0.0
20692,68,0.0
19412,67,0.0
50,67,0.0
50,67,0.0
8385,67,0.0
22074,67,0.0
21263,67,0.0
71507,67,0.0
223428,67,0.0
230750,67,0.0
198048,67,0.0
214618,67,0.0
216265,67,0.0
183859,67,0.0
177876,67,0.0
6441,67,0.0
6441,67,0.0
6588,67,0.0
87597,67,0.0
112865,67,0.0
181357,67,0.0
180634,67,0.0
213529,67,0.0
187550,66,0.0
181667,66,0.0
199848,66,0.0
180750,66,0.0
202878,66,0.0
50,66,0.0
50,66,0.0
166428,66,0.0
213250,66,0.0
221179,66,0.0
207334,66,0.0
207083,66,0.0
185199,66,0.0
167221,66,0.0
188243,66,0.0
153032,66,0.0
84790,66,0.0
37459,67,0.0
184151,67,0.0
163699,67,0.0
171585,67,0.0
164666,67,0.0
180672,67,0.0
180486,67,0.0
182268,67,0.0
186451,67,0.0
162844,67,0.0
156244,67,0.0
53491,67,0.0
53491,67,0.0
749,67,0.0
231698,67,0.0
323677,67,0.0
203912,67,0.0
200665,67,0.0
214358,67,0.0
164519,67,0.0
170852,67,0.0
179868,67,0.0
184993,67,0.0
73197,67,0.0
50,67,0.0
211746,67,0.0
271341,67,0.0
259660,67,0.0
229217,67,0.0
206103,67,0.0
149670,67,0.0
132912,67,0.0
137682,67,0.0
144236,67,0.0
86592,67,0.0
50,67,0.0
150560,66,0.0
218151,66,0.0
193360,66,0.0
196460,66,0.0
203252,66,0.0
208170,66,0.0
206123,66,0.0
207792,66,0.0
196658,66,0.0
171162,66,0.0
121617,66,0.0
50,66,0.0
15488,66,0.0
67823,66,0.0
138844,66,0.0
131747,66,0.0
142403,66,0.0
142254,66,0.0
134707,66,0.0
139125,66,0.0
121928,66,0.0
132869,66,0.0
83952,66,0.0
50,66,0.0
17020,67,0.0
19376,67,0.0
19811,67,0.0
21011,67,0.0
72234,67,0.0
75639,67,0.0
147009,67,0.0
174137,67,0.0
180464,67,0.0
167993,67,0.0
66743,67,0.0
50,67,0.0
26313,68,0.0
22489,68,0.0
24921,68,0.0
25559,68,0.0
25133,68,0.0
24615,68,0.0
24258,68,0.0
22702,68,0.0
